,CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
0,Boston,Celtics,1610612738,1,0,1,0,0,0,0,6,1,5,240,0,42,89,0.472,25,54,0.463,11,14,0.786,12,35,53,33,13,5,15,3,120,53.0,120.0,0,0.6,6.0,2022-23,2023-04-09,0022201216,1,0,0.7804878048780488,0.6097560975609756,0.6951219512195121,9.666666666666666,0.5880226623589455,2.0
1,OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,4,1,5,240,0,44,97,0.454,11,39,0.282,15,19,0.789,16,34,54,27,12,11,9,5,114,54.0,114.0,0,0.6068376068376068,-6.0,2022-23,2023-04-09,0022201216,0,1,0.5853658536585366,0.4146341463414634,0.5,2.3333333333333335,0.6029784890861236,2.0
2,Atlanta,Hawks,1610612737,0,1,0,1,0,0,1,8,1,5,265,0,51,92,0.554,10,33,0.303,19,28,0.679,4,34,46,32,19,11,21,7,131,46.0,131.0,0,0.5886524822695035,-5.0,2022-23,2023-04-07,0022201205,1,0,0.5853658536585366,0.425,0.5061728395061729,10.333333333333334,0.6028850791566481,2.0
3,OPPONENTS, 76ers,1610612755,1,0,0,0,1,0,0,9,1,5,265,0,51,102,0.5,11,22,0.5,23,29,0.793,13,39,61,33,22,10,20,2,136,61.0,136.0,1,0.5915492957746479,5.0,2022-23,2023-04-07,0022201205,0,1,0.7073170731707317,0.6,0.654320987654321,-7.0,0.5705501445249669,1.0
4,Atlanta,Hawks,1610612737,1,0,1,0,0,0,1,8,1,5,240,0,43,84,0.512,13,30,0.433,35,40,0.875,12,36,56,30,23,10,17,5,134,56.0,134.0,0,0.6134453781512605,18.0,2022-23,2023-04-05,0022201191,1,0,0.6,0.425,0.5125,12.666666666666666,0.6076853967716482,1.0
5,OPPONENTS, Wizards,1610612764,0,1,0,0,0,1,0,6,1,5,240,0,45,94,0.479,6,28,0.214,20,26,0.769,12,27,45,23,26,10,14,9,116,45.0,116.0,0,0.5714285714285714,-18.0,2022-23,2023-04-05,0022201191,0,1,0.46153846153846156,0.3902439024390244,0.425,-13.0,0.5792673658610731,1.0
6,Chicago,Bulls,1610612741,0,1,0,1,0,0,0,6,1,5,240,0,41,89,0.461,7,31,0.226,16,20,0.8,6,26,38,16,18,8,8,6,105,38.0,105.0,0,0.5327102803738317,-18.0,2022-23,2023-04-04,0022201182,1,0,0.525,0.4358974358974359,0.4810126582278481,11.0,0.6036272982036732,2.0
7,OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,6,1,5,240,0,48,86,0.558,10,28,0.357,17,19,0.895,7,41,54,26,18,5,17,7,123,54.0,123.0,0,0.6065573770491803,18.0,2022-23,2023-04-04,0022201182,0,1,0.5897435897435898,0.425,0.5063291139240507,1.0,0.5928060505377418,2.0
8,Atlanta,Hawks,1610612737,1,0,1,0,0,0,2,6,1,5,265,0,51,108,0.472,12,35,0.343,18,22,0.818,16,37,59,28,22,10,11,3,132,59.0,132.0,0,0.6030534351145038,2.0,2022-23,2023-04-02,0022201167,1,0,0.5897435897435898,0.41025641025641024,0.5,-4.333333333333333,0.581924606014102,2.0
9,OPPONENTS, Mavericks,1610612742,0,1,0,0,0,1,0,11,1,5,265,0,49,95,0.516,10,38,0.263,22,32,0.688,10,37,58,24,15,4,14,3,130,58.0,130.0,0,0.5934959349593496,-2.0,2022-23,2023-04-02,0022201167,0,1,0.5789473684210527,0.36585365853658536,0.46835443037974683,-5.666666666666667,0.5965698283125295,1.0
